_id,platform,brand,review_id,rating,review_content,review_date,sentiment,categories,products_services,produits_ou_services
68090338d5010c2a8b29034b,trustpilot,orange,c07e80a8-6882-41d0-99cb-5c423fc01f09,1,"Avec Orange Maroc tu ne recois pas ton code de verification envoyé par un site web de renom, et le plus génial c'est que tu ne peux pas recevoir le code de l'application Orange et Moi, genre leur propre code ils le bloquent, mesures de securité en mode BrainDelay.",2025-04-22,negative,"['Défaillance technique persistante', 'Expérience client dégradée']","['téléphonie mobile', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b29034c,trustpilot,orange,dca33174-580e-44c0-8914-492581a864ed,1,"Un incident qui persiste pour bientôt une semaine. Quand on appelle vous ne vous gênez pas a envoyer balader les gens, sous pretexte que cela sera résolu. On ignore d'où cela provient, comme quoi y a des techniciens dessus... qui cherchent encore où se trouve la panne...  j'ai ramené ma soeur en parrainage forfait et fibre. Entre les 2 domiciles, (6 lignes, sans compter celles des petits) ca fait une belle somme a payer chaque mois, la moindre des choses est de resoudre nos soucis relatifs A VOS SERVICES. Au bout du 6eme appel tekharit avec l'un des lecteurs(avec un script, des monsieurs et des mercis et courtoisie nauséabonde) car c'était clair qu'il été arrivé au bout de son script et qu'on tournait en rond. Vous imaginez? Quelqu'un qui bosse a domicile qui soudainement retrouve en détresse depuis Lundi? Le conseil du vendeur au bout du fil déguisé comme gestionnaire clientèle était d'acheter un machin en vente chez Orange, autrement dit, de REPAYER si je voulais avoir accès a internet sans fibre.Ma toute premiere assurance m'avait proposé un vehicule de remplacement lors de la signature du contrat. En plein hiver j'ai récupéré une belle clio et continué mon trajet, nickel. Irreprochable. Chose promise, chose dûe.Vous devez faire de même, commencez a offrir cette option, AVANT d'arnaquer vos client, mensuellement on paie un peu plus juste au cas ou votre ligne marche de travers et il nous faut un AUTRE routeur pour pouvoir accéder a internet... mais ca ne sonne pas bon, pas très commercial, yak? C'est pas alléchant d'exposer vos lacunes avant de piéger bnadm dans un contrat. Car si je savais que l'un de ces jours je me retrouverai coupé du reste du monde pendant les jours ouvrables...  A MOINS QUE JE NE REPAIE... j'aurai fort probablement souscri ailleurs.Incompétents. Bons a rien a part d'harceler les gens avec vos pubs et commerciaux entre les immeubles f dkhla w lkherja. msaken khedmthom hadik mais quand même vous vous fichez des gens. Car logiquement, le budget attribué a ces individus lorsqu'il est temps de nous faire c_hier avec vos forfaits,ne comprend pas les frais des techniciens au cas ou ce forfait/offre rencontre un problème a wl_ad l9*ab???Faites votre boulot al9**wi, on ne vous demande pas la charité, une bande de miser_ables dans vos centre d'appels ne vous fait pas de faveur non plus. Un opérateur reprendra le relai sous peu de temps.Lundi de bonne heure nous arrêtons tous les contrats chez Orange, allez au diable redoha wla siro t9**do osef là",2025-04-07,negative,"['Défaillance technique persistante', 'Expérience client dégradée', 'Manque de transparence', 'Problème administratif']","['fibre optique', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b29034d,trustpilot,orange,98a3aa8d-e5c3-46a9-83c2-acce7e3f7703,1,10 eme réclamations !!!!!!Je vous sollicite SVP de nous résoudre le problème de Fibre depuis Mercredi à  Résidence Kamilia Bd Prince Héritier contrat 0532149911.,2025-04-02,negative,"['Défaillance technique persistante', 'Expérience client dégradée']",['fibre optique'],
68090338d5010c2a8b29034e,trustpilot,orange,e04f8ec7-a535-42c0-a250-d728250fcd5e,1,"J’ai mis une étoile mais normalement c’est 0 étoile…. Service client NUL mais vraiment très nul … aucune réponse donnée, en tchat, ça raccroche tout le temps. Incompétence totale, je ne sais pas comment une entreprise comme ça peut fonctionner…. Je ne reprendrais jamais ce fournisseur et je ferai une très bonne publicité, compter sur moi",2025-04-03,negative,"['Expérience client dégradée', 'satisfaction générale / recommandation']","['services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b29034f,trustpilot,orange,39c93096-4c00-4a91-8b22-b831c0b2354b,1,"Bonjour, un service client nul . Entreprise qui ne s’engage pas pour satisfaire ses clients. A éviter à tout prix. Service technique non opérationnel. Bref entreprise irresponsable",2025-03-29,negative,"['Expérience client dégradée', 'services transverses (SAV, service client, facturation)']","['services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290350,trustpilot,orange,d07b101b-eef8-413f-94ec-f76b1c69f04c,1,"Une expérience client décevante avec Orange MarocOrange Maroc est, sans doute, l'une des pires entreprises que j'ai connues en termes de service client. J'ai rencontré un problème avec mes deux lignes ADSL – l'une à domicile et l'autre au travail – et malgré mes nombreuses réclamations, l'entreprise n'a jamais été capable de le résoudre. J'ai finalement dû annuler l’une des lignes.Ce qui est encore plus frustrant, c'est l'attitude du service client. À chaque tentative de contact, j’ai été confronté à des réponses non professionnelles, voire expéditives, comme si leur seul objectif était de clore rapidement l’échange sans apporter de solution concrète. 17 jours sans internet, et personne n’a été en mesure de m’aider !J'avais choisi Orange en pensant qu'il s'agissait d'une entreprise sérieuse et professionnelle, mais elle a prouvé tout le contraire, comme en témoignent de nombreux autres clients ici et sur Google. Je ne comprends d’ailleurs pas comment elle a pu remporter le prix du meilleur service client...Mon conseil : évitez cette entreprise !",2025-03-15,negative,"['Expérience client dégradée', 'Défaillance technique persistante', 'Problème administratif', 'Manque de transparence']","['ADSL', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290351,trustpilot,orange,0b5b4cf3-3fc3-4343-b51a-2f2d9f6bd414,1,"J'ai rarement vu un service client aussi inefficace et un traitement aussi scandaleux de la part d’un opérateur télécom censé être leader du marché.📌 Les faits :Demande ADSL effectuée en ligne en décembre 2024.Contrat signé le 15 janvier 2025.Installation réalisée le 17 janvier 2025.Depuis ? Aucune activation. Rien. Silence total.Plusieurs réclamations déposées. Aucune réponse concrète. Je me rends en agence pour annuler cette mascarade, on me répond que ce n’est pas possible car la demande a été faite en ligne. Le service client ? ""Nous ne pouvons pas annuler une ligne non activée."" 🤯Donc en résumé :✅ Orange sait signer des contrats.✅ Orange sait envoyer des techniciens pour installer une ligne.❌ Orange est incapable d’activer un service payé.❌ Orange est incapable d’annuler un contrat non exécuté.C’est quoi cette absurdité ? Je me demande combien de clients se retrouvent piégés dans ce non-sens administratif. Une honte pour un opérateur qui prétend offrir un service de qualité.Si vous cherchez un bon service ADSL, un conseil : FUYEZ !#ServiceClientCatastrophique #OrangeMaroc #Incompétence #ADSL #MauvaiseExpérience",2025-03-24,negative,"['Expérience client dégradée', 'Problème administratif', 'Manque de transparence', 'satisfaction générale / recommandation']","['ADSL', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290352,trustpilot,orange,eb7918cd-4093-4f2d-a40e-9525004ef340,1,Il m’ont promis abonnement adsl a150 dh je reçois 250 en facture arnaque,2025-03-17,negative,"['Manque de transparence', 'Problème administratif', 'Expérience client dégradée']","['ADSL', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290353,trustpilot,orange,0bbac955-763c-466c-8567-5e61d2fcee4d,1,Jai charger 30 dh  (*3)est jai recus  apres 4heures message que jai moins dun gega .apres la reclamation  il m ont dit que je l ai cosommer [ vraiment c est de l arnaque propre],2025-03-12,negative,"['Manque de transparence', 'Expérience client dégradée']",['téléphonie mobile'],
68090338d5010c2a8b290354,trustpilot,orange,98100745-acde-403d-b992-ff882eb74e6b,1,"Si j'ai à mettre 0 étoile je n'hésiterai pas une seconde, un service clt en agonie, pour un problème de connexion, aucun moyen de contact, ni téléphone, ni whatsap, ni chat, et c'est toujours une mer à boire pour avoir quelqu'un à qui s'adresser, pire encore quand c'est le cas, aucune réponse convaincante n'est communiquée, je regrette vraiment avoir choisi cet opérateur, et je pense sérieusement à faire une portabilité",2025-03-12,negative,"['Expérience client dégradée', 'Manque de transparence', 'satisfaction générale / recommandation']","['services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290355,trustpilot,orange,79f61250-f595-4807-b46b-a50a6aeade1c,1,Harcèlement publicitaire tous les jours des vrais mendiant alors que j’ai deja un abonnement et la fibre  qu’es que vous voulez de plus la monnaie dans ma poche?,2025-03-03,negative,['Expérience client dégradée'],"['fibre optique', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290356,trustpilot,orange,ca4a1bad-221e-483a-9e49-77e676033230,1,C l entreprise arnaque orange Maroc internet et réseau très médiocre la recharge se volatilise très mauvais service je conseille aux marocains résidents à l étrangers et aux non marocain de ne pas utiliser orange Maroc c une orange pourrie hhhhhh,2025-02-01,negative,"['Expérience client dégradée', 'Manque de transparence']","['téléphonie mobile', 'services transverses (SAV, service client, facturation)']",
68090338d5010c2a8b290357,trustpilot,orange,c810f04e-1282-478b-96be-232a57731d9b,1,J'habite en France donc je paie mes factures en France logique jusque là Lors problème sur la ligne mobile 3900 c'est toujours le Maroc qui prend en charge la demande Problème sur ma ligne jamais résolu  !Toujours 120 dbm ça veut dire pas de signalDonc c'est quoi qui alimente ma ligne ?J'ai fait tous Les opérateurs problème avec tousAucun n'a été capable de trouver c'est quoi le problème @Ahurissant tout de même C'est forcément une fraude!Comme chez enedis erdf les anomalies sont jamais réglées Ils font quoi la répression et fraudes Ils contrôlent pas les monopole s,2025-02-17,negative,"['Défaillance technique persistante', 'Expérience client dégradée']",['téléphonie mobile'],
